Organization Names,Links,Tech Stack
52° North GmbH,https://summerofcode.withgoogle.com/archive/2020/organizations/6309633414660096/,"['java', 'android', 'javascript', 'python', 'react']"
AboutCode.org,https://summerofcode.withgoogle.com/archive/2020/organizations/6689005560659968/,"['python', 'c/c++', 'rust', 'javascript', 'postgresql']"
Accord Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5947521500708864/,"['javascript', 'react', 'coq', 'ocaml', 'compiler']"
Amahi,https://summerofcode.withgoogle.com/archive/2020/organizations/5480514170912768/,"['ruby on rails', 'javascript', 'android', 'golang', 'swift']"
Android Graphics Tools Team,https://summerofcode.withgoogle.com/archive/2020/organizations/5158050039595008/,"['vulkan', 'opengl', 'c/c++', 'java', 'python 3']"
AnitaB.org Open Source,https://summerofcode.withgoogle.com/archive/2020/organizations/5270382996619264/,"['ios', 'android', 'python', 'javascript']"
AOSSIE,https://summerofcode.withgoogle.com/archive/2020/organizations/5037209255673856/,"['javascript', 'swift', 'kotlin', 'python']"
BeagleBoard.org,https://summerofcode.withgoogle.com/archive/2020/organizations/5073969981423616/,"['linux', 'tensorflow', 'python', 'javascript', 'opencv']"
caMicroscope,https://summerofcode.withgoogle.com/archive/2020/organizations/5978557471260672/,"['javascript', 'python', 'java', 'medical imaging', 'tensorflow']"
Canadian Centre for Computational Genomics,https://summerofcode.withgoogle.com/archive/2020/organizations/5106421244362752/,"['python', 'r-project', 'javascript', 'react', 'nodejs']"
Casbin,https://summerofcode.withgoogle.com/archive/2020/organizations/6587176113930240/,"['go', 'javascript', 'react', 'rust', 'python']"
Catrobat,https://summerofcode.withgoogle.com/archive/2020/organizations/5707287336845312/,"['java', 'android', 'swift', 'ios', 'php']"
Ceph Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6273779027673088/,"['c/c++', 'jenkins', 'python', 'javascript', 'shell script']"
CHAOSS,https://summerofcode.withgoogle.com/archive/2020/organizations/6232321151205376/,"['python', 'javascript', 'kibana', 'elasticsearch', 'mysql']"
Checker Framework,https://summerofcode.withgoogle.com/archive/2020/organizations/5983189996142592/,['java']
Checkstyle,https://summerofcode.withgoogle.com/archive/2020/organizations/4788704964509696/,"['java', 'antlr', 'xpath']"
CircuitVerse.org,https://summerofcode.withgoogle.com/archive/2020/organizations/5373782455222272/,"['rails', 'javascript', 'bootstrap', 'html5', 'canvas']"
CiviCRM,https://summerofcode.withgoogle.com/archive/2020/organizations/4923749205278720/,"['php', 'javascript', 'angularjs', 'mysql']"
Creative Commons,https://summerofcode.withgoogle.com/archive/2020/organizations/5450793232105472/,"['javascript', 'vue.js', 'python', 'django', 'wordpress']"
DBpedia,https://summerofcode.withgoogle.com/archive/2020/organizations/4792495004712960/,"['python', 'scala', 'java', 'javascript', 'rdf']"
Debian,https://summerofcode.withgoogle.com/archive/2020/organizations/6279124282245120/,"['git', 'python', 'javascript', 'c/c++', 'irc']"
Digital Impact Alliance (DIAL) at UN Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6465676589400064/,"['c++', 'javascript', 'android', 'php', 'python']"
Drupal,https://summerofcode.withgoogle.com/archive/2020/organizations/5836893377265664/,"['php', 'symfony', 'sql', 'javascript', 'drupal 8']"
Eclipse Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/4711920076062720/,"['eclipsejavaide', 'jakartaee', 'java', 'che', 'deep learning']"
Elastic,https://summerofcode.withgoogle.com/archive/2020/organizations/4573440532545536/,"['java', 'react', 'node.js', 'golang']"
FOSSology,https://summerofcode.withgoogle.com/archive/2020/organizations/6163301563629568/,"['php', 'javascript', 'c/c++', 'twig', 'python']"
FrameNet Brasil (UFJF),https://summerofcode.withgoogle.com/archive/2020/organizations/5699340439388160/,"['php', 'mysql', 'javascript', 'python']"
GDevelop,https://summerofcode.withgoogle.com/archive/2020/organizations/5791816890187776/,"['javascript', 'c/c++', 'web development', 'game development', 'react']"
Global Alliance for Genomics and Health,https://summerofcode.withgoogle.com/archive/2020/organizations/5086080816119808/,"['java', 'python', 'node.js', 'mongodb', 'spring']"
GPAC,https://summerofcode.withgoogle.com/archive/2020/organizations/6028158437949440/,"['c', 'javascript', 'opengl']"
GraphQL Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6354766843609088/,"['graphql', 'javascript', 'react', 'node.js']"
Hazelcast,https://summerofcode.withgoogle.com/archive/2020/organizations/6487112334966784/,"['java', 'distributed systems']"
INCF,https://summerofcode.withgoogle.com/archive/2020/organizations/6550809786974208/,"['python', 'c/c++', 'java', 'tensorflow', 'javascript']"
Inclusive Design Institute,https://summerofcode.withgoogle.com/archive/2020/organizations/5992304050962432/,"['javascript', 'html', 'css', 'node.js']"
Internet Archive,https://summerofcode.withgoogle.com/archive/2020/organizations/5652935767228416/,"['javascript', 'python']"
JBoss Community,https://summerofcode.withgoogle.com/archive/2020/organizations/6073291866898432/,"['java', 'golang', 'react']"
Jenkins project,https://summerofcode.withgoogle.com/archive/2020/organizations/5087283272744960/,"['java', 'javascript', 'docker', 'kubernetes', 'go']"
Joplin,https://summerofcode.withgoogle.com/archive/2020/organizations/6331892753760256/,"['node.js', 'electron', 'react native', 'terminal-kit', 'react']"
Kiwix,https://summerofcode.withgoogle.com/archive/2020/organizations/5280668067561472/,"['python 3', 'c/c++', 'javascript', 'node.js', 'kotlin']"
LibreHealth,https://summerofcode.withgoogle.com/archive/2020/organizations/5842452507787264/,"['java', 'javascript', 'python 3', 'android', 'php']"
LibreOffice,https://summerofcode.withgoogle.com/archive/2020/organizations/6094595844210688/,"['c++', 'python', 'java']"
Liquid Galaxy project,https://summerofcode.withgoogle.com/archive/2020/organizations/6406567974404096/,"['python', 'vue', 'html', 'javascript', 'java']"
MariaDB Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5950846174494720/,"['mariadb', 'mysql', 'c', 'c++', 'java']"
Matrix,https://summerofcode.withgoogle.com/archive/2020/organizations/6400769936326656/,"['python', 'javascript', 'rust', 'go', 'react']"
MGGG Redistricting Lab,https://summerofcode.withgoogle.com/archive/2020/organizations/4721222438354944/,"['python', 'javascript', 'gis', 'julia', 'mapping']"
MIT App Inventor,https://summerofcode.withgoogle.com/archive/2020/organizations/6125092997693440/,"['javascript', 'java', 'google web toolkit', 'android', 'junit']"
Mixxx,https://summerofcode.withgoogle.com/archive/2020/organizations/5847122345197568/,"['c++', 'qt', 'javascript', 'deep learning']"
Moira,https://summerofcode.withgoogle.com/archive/2020/organizations/5420871000260608/,"['golang', 'javascript', 'typescript', 'graphite', 'react']"
Mozilla,https://summerofcode.withgoogle.com/archive/2020/organizations/5169365365817344/,"['javascript', 'rust', 'html5', 'web development', 'python']"
MZmine,https://summerofcode.withgoogle.com/archive/2020/organizations/6328123651522560/,"['java', 'javafx']"
National Resource for Network Biology (NRNB),https://summerofcode.withgoogle.com/archive/2020/organizations/4549302816342016/,"['java', 'javascript', 'python', 'r', 'rest']"
Netty,https://summerofcode.withgoogle.com/archive/2020/organizations/5983819074633728/,"['java', 'jni', 'c']"
NumFOCUS,https://summerofcode.withgoogle.com/archive/2020/organizations/6692416771325952/,"['python', 'c/c++', 'javascript', 'r', 'julia']"
Open Bioinformatics Foundation (OBF),https://summerofcode.withgoogle.com/archive/2020/organizations/4595548239167488/,"['python', 'javascript', 'c/c++']"
Open Chemistry,https://summerofcode.withgoogle.com/archive/2020/organizations/5796522697949184/,"['c/c++', 'python', 'javascript', 'opengl', 'html']"
Open Genome Informatics,https://summerofcode.withgoogle.com/archive/2020/organizations/5089985813807104/,"['neo4j', 'python', 'javascript', 'react', 'r-project']"
Open Roberta,https://summerofcode.withgoogle.com/archive/2020/organizations/4541796253696000/,"['java', 'javascript']"
OpenAstronomy,https://summerofcode.withgoogle.com/archive/2020/organizations/4577601315667968/,"['python', 'julia', 'spark', 'numba', 'javascript']"
OpenCV,https://summerofcode.withgoogle.com/archive/2020/organizations/6410072298618880/,"['c/c++', 'python 3', 'javascript', 'cuda']"
OpenEMR,https://summerofcode.withgoogle.com/archive/2020/organizations/6277255937916928/,"['php', 'mysql', 'javascript', 'docker', 'html']"
OpenMRS,https://summerofcode.withgoogle.com/archive/2020/organizations/6119294959616000/,"['java', 'javascript', 'spring', 'mysql', 'android']"
OpenRefine,https://summerofcode.withgoogle.com/archive/2020/organizations/6727913602285568/,"['java', 'javascript']"
OpenStreetMap,https://summerofcode.withgoogle.com/archive/2020/organizations/5531645890789376/,"['javascript', 'java', 'python', 'sql', 'docker']"
openSUSE Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5703501222510592/,"['linux', 'python', 'perl', 'rpm', 'javascript']"
OpenWISP,https://summerofcode.withgoogle.com/archive/2020/organizations/4717183558483968/,"['python', 'django', 'openwrt', 'javascript', 'lua']"
Orcasound,https://summerofcode.withgoogle.com/archive/2020/organizations/6216078121762816/,"['elixir', 'react', 'javascript', 'python', 'raspberry pi']"
OSGeo,https://summerofcode.withgoogle.com/archive/2020/organizations/5355444958134272/,"['c/c++', 'python', 'sql', 'open source databases', 'java']"
OWASP Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5260035782868992/,"['python', 'javascript', '.net', 'node.js']"
Percona,https://summerofcode.withgoogle.com/archive/2020/organizations/5002697415065600/,"['javascript', 'shell script', 'golang', 'prometheus', 'grafana']"
Postman,https://summerofcode.withgoogle.com/archive/2020/organizations/5654790253576192/,"['node.js', 'javascript']"
Processing Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5988762313555968/,"['python', 'android', 'opengl', 'java', 'javascript']"
Purr Data,https://summerofcode.withgoogle.com/archive/2020/organizations/5158498192588800/,"['html5', 'javascript', 'opengl', 'svg', 'c/c++']"
R Project for Statistical Computing,https://summerofcode.withgoogle.com/archive/2020/organizations/4761521042751488/,"['r-project', 'c', 'c++', 'fortran', 'javascript']"
Rocket.Chat,https://summerofcode.withgoogle.com/archive/2020/organizations/4707433043197952/,"['javascript', 'react', 'reactnative', 'chatbots', 'ruby']"
Ruby,https://summerofcode.withgoogle.com/archive/2020/organizations/5633129894641664/,"['ruby', 'c', 'java']"
SPDX,https://summerofcode.withgoogle.com/archive/2020/organizations/6283949946437632/,"['python', 'java', 'golang', 'node.js', 'xml']"
Submitty,https://summerofcode.withgoogle.com/archive/2020/organizations/5702344097923072/,"['php', 'python', 'postgresql', 'c++', 'javascript']"
Sugar Labs,https://summerofcode.withgoogle.com/archive/2020/organizations/6305701137219584/,"['python', 'javascript', 'gtk', 'pygame', 'c']"
The Apache Software Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6679967372410880/,"['java', 'c++']"
The GNU Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5461276207087616/,"['c/c++', 'javascript', 'android', 'python', 'scheme']"
The Mifos Initiative,https://summerofcode.withgoogle.com/archive/2020/organizations/6055344943398912/,"['android', 'java', 'angular', 'mysql', 'spring']"
The Terasology Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/4504833932918784/,"['java', 'lwgjl', 'opengl', 'blender', 'gradle']"
webpack,https://summerofcode.withgoogle.com/archive/2020/organizations/5144337383424000/,"['javascript', 'webpack']"
Wikimedia Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5593787323121664/,"['html', 'css', 'python', 'javascript', 'php']"
XMPP Standards Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5153224375402496/,"['java', 'xmpp', 'vala', 'webrtc', 'lua']"
XWiki,https://summerofcode.withgoogle.com/archive/2020/organizations/6726059115937792/,"['java', 'javascript', 'html5', 'css', 'velocity']"
Zulip,https://summerofcode.withgoogle.com/archive/2020/organizations/5924162381545472/,"['python', 'react native', 'django', 'typescript', 'electron']"
